wavelength(nm),reflectance,diffuse_transmittance
894,0.44054,0.5201
895,0.44051,0.52018
896,0.44048,0.52023
897,0.44048,0.52032
898,0.44047,0.52037
899,0.44045,0.52046
900,0.44043,0.52051
901,0.44047,0.52056
902,0.44046,0.52063
903,0.44043,0.52068
904,0.44041,0.52076
905,0.44043,0.52081
906,0.44046,0.52085
907,0.44047,0.52093
908,0.44044,0.52097
909,0.44044,0.52105
910,0.44043,0.5211
911,0.44044,0.52117
912,0.44047,0.52121
913,0.44044,0.52128
914,0.44042,0.52132
915,0.4404,0.52137
916,0.44035,0.52144
917,0.44033,0.52146
918,0.44033,0.52152
919,0.44032,0.52156
920,0.44031,0.52163
921,0.44029,0.52165
922,0.44026,0.52169
923,0.44023,0.52174
924,0.4402,0.52176
925,0.44019,0.52182
926,0.44016,0.52187
927,0.44011,0.52189
928,0.4401,0.52189
929,0.44008,0.52189
930,0.44003,0.52188
931,0.43995,0.52189
932,0.43985,0.52192
933,0.4398,0.52196
934,0.43974,0.522
935,0.43968,0.52203
936,0.43964,0.52197
937,0.43957,0.52193
938,0.43947,0.52192
939,0.43937,0.52196
940,0.43927,0.52195
941,0.43924,0.52191
942,0.43919,0.52194
943,0.43909,0.52192
944,0.43899,0.52192
945,0.43886,0.52185
946,0.43871,0.52179
947,0.43857,0.52171
948,0.43843,0.52164
949,0.4383,0.5215
950,0.43811,0.52131
951,0.43787,0.5212
952,0.43769,0.52115
953,0.4375,0.52105
954,0.43731,0.52089
955,0.43712,0.52075
956,0.43696,0.52064
957,0.4368,0.52053
958,0.43665,0.52049
959,0.43651,0.5204
960,0.43637,0.52028
961,0.43624,0.52023
962,0.43614,0.52024
963,0.43604,0.5203
964,0.43598,0.52032
965,0.43588,0.52033
966,0.4358,0.5203
967,0.43578,0.52033
968,0.4358,0.52036
969,0.43581,0.52036
970,0.43577,0.52035
971,0.43572,0.52035
972,0.43568,0.52042
973,0.43569,0.52049
974,0.43571,0.52056
975,0.43576,0.5206
976,0.43588,0.52065
977,0.43586,0.52071
978,0.43583,0.5208
979,0.43587,0.52091
980,0.43591,0.52098
981,0.43593,0.52109
982,0.43598,0.5212
983,0.43605,0.52127
984,0.43606,0.52135
985,0.43608,0.5214
986,0.43616,0.52145
987,0.43629,0.52146
988,0.43642,0.52147
989,0.43643,0.52152
990,0.43643,0.52162
991,0.43651,0.52172
992,0.43664,0.52183
993,0.4367,0.52196
994,0.43675,0.52208
995,0.43679,0.52222
996,0.43681,0.52237
997,0.43699,0.52251
998,0.43716,0.52265
999,0.43727,0.52276
1000,0.4373,0.52286
1001,0.43913,0.52301
1002,0.4392,0.52316
1003,0.43927,0.52326
1004,0.4393,0.52337
1005,0.43937,0.52347
1006,0.43947,0.52355
1007,0.43959,0.52366
1008,0.43968,0.52374
1009,0.43976,0.52386
1010,0.43983,0.52397
1011,0.43989,0.52413
1012,0.43996,0.52424
1013,0.44005,0.52435
1014,0.44017,0.52446
1015,0.44024,0.52453
1016,0.44029,0.52464
1017,0.44037,0.52478
1018,0.44045,0.52493
1019,0.4405,0.52505
1020,0.44059,0.52521
1021,0.44065,0.52537
1022,0.44068,0.52552
1023,0.44074,0.52563
1024,0.44082,0.52574
1025,0.44087,0.52585
1026,0.44092,0.52596
1027,0.441,0.52607
1028,0.44106,0.52622
1029,0.44111,0.5263
1030,0.44117,0.52641
1031,0.44125,0.52645
1032,0.44131,0.52653
1033,0.44136,0.52657
1034,0.44142,0.52664
1035,0.44148,0.5267
1036,0.4415,0.52677
1037,0.44152,0.52686
1038,0.44157,0.52696
1039,0.44159,0.52705
1040,0.44164,0.52714
1041,0.44173,0.52727
1042,0.44181,0.52736
1043,0.44186,0.52749
1044,0.44189,0.5276
1045,0.44192,0.52767
1046,0.44194,0.52771
1047,0.44195,0.5278
1048,0.44199,0.52789
1049,0.44207,0.52793
1050,0.44215,0.528
1051,0.44221,0.52807
1052,0.44226,0.52818
1053,0.44229,0.5283
1054,0.44232,0.52837
1055,0.44236,0.52839
1056,0.44242,0.52841
1057,0.4425,0.52847
1058,0.44252,0.52853
1059,0.44256,0.52859
1060,0.4426,0.52865
1061,0.44264,0.52872
1062,0.44267,0.52881
1063,0.44273,0.52886
1064,0.44278,0.52891
1065,0.44283,0.52892
1066,0.44288,0.52889
1067,0.44291,0.52894
1068,0.44295,0.52896
1069,0.44298,0.529
1070,0.44302,0.52908
1071,0.44309,0.52913
1072,0.44314,0.52917
1073,0.44317,0.52921
1074,0.4432,0.52929
1075,0.44322,0.52933
1076,0.44325,0.52939
1077,0.44328,0.52942
1078,0.44333,0.5295
1079,0.44336,0.52954
1080,0.44338,0.52958
1081,0.44341,0.52961
1082,0.44343,0.52963
1083,0.44343,0.52964
1084,0.44343,0.52962
1085,0.44343,0.52964
1086,0.44344,0.52967
1087,0.44346,0.52973
1088,0.44347,0.52975
1089,0.44345,0.5298
1090,0.44342,0.52985
1091,0.4434,0.52986
1092,0.44336,0.52988
1093,0.44334,0.5299
1094,0.44332,0.52988
1095,0.44331,0.52989
1096,0.44328,0.52988
1097,0.44328,0.52995
1098,0.44327,0.52998
1099,0.44323,0.52999
1100,0.4432,0.53001
1101,0.44314,0.53002
1102,0.44306,0.53002
1103,0.44301,0.53002
1104,0.44296,0.53002
1105,0.44288,0.53004
1106,0.44283,0.53009
1107,0.44281,0.53012
1108,0.44276,0.53011
1109,0.4427,0.53007
1110,0.44265,0.53001
1111,0.4426,0.52997
1112,0.44252,0.52992
1113,0.44242,0.52987
1114,0.44234,0.5299
1115,0.44226,0.52994
1116,0.44217,0.52993
1117,0.44209,0.52996
1118,0.442,0.52998
1119,0.4419,0.53001
1120,0.44179,0.53001
1121,0.44169,0.52999
1122,0.44157,0.52999
1123,0.44143,0.52999
1124,0.44129,0.53001
1125,0.44113,0.53
1126,0.44093,0.52991
1127,0.44073,0.5298
1128,0.44051,0.52968
1129,0.44025,0.5296
1130,0.43997,0.52952
1131,0.43967,0.52938
1132,0.43934,0.52919
1133,0.43899,0.52893
1134,0.43862,0.5287
1135,0.43822,0.52849
1136,0.43782,0.52829
1137,0.43738,0.52804
1138,0.43693,0.52778
1139,0.43647,0.52741
1140,0.43598,0.52695
1141,0.43547,0.52651
1142,0.43495,0.52616
1143,0.43439,0.52588
1144,0.43386,0.5255
1145,0.4333,0.52503
1146,0.43278,0.52456
1147,0.43228,0.52422
1148,0.43178,0.524
1149,0.43131,0.52382
1150,0.43086,0.52356
1151,0.43044,0.52326
1152,0.43005,0.52298
1153,0.4297,0.52267
1154,0.42938,0.52246
1155,0.42908,0.52233
1156,0.42881,0.52228
1157,0.42857,0.52218
1158,0.42836,0.52212
1159,0.42818,0.52201
1160,0.42802,0.52194
1161,0.42788,0.52182
1162,0.42775,0.52176
1163,0.42765,0.52172
1164,0.42759,0.5217
1165,0.42754,0.52177
1166,0.42749,0.52182
1167,0.42748,0.52183
1168,0.42746,0.52185
1169,0.42743,0.52184
1170,0.4274,0.52187
1171,0.42736,0.52188
1172,0.42732,0.52186
1173,0.42729,0.52184
1174,0.42727,0.52186
1175,0.42726,0.52193
1176,0.42725,0.52196
1177,0.42727,0.52195
1178,0.42726,0.52191
1179,0.42726,0.52188
1180,0.42725,0.52189
1181,0.42723,0.52195
1182,0.42722,0.52204
1183,0.42721,0.52204
1184,0.42719,0.52204
1185,0.42717,0.52195
1186,0.42714,0.52185
1187,0.42711,0.5217
1188,0.4271,0.52164
1189,0.4271,0.52161
1190,0.42711,0.52167
1191,0.42711,0.52176
1192,0.42713,0.52191
1193,0.42714,0.52204
1194,0.42716,0.52214
1195,0.42718,0.52219
1196,0.42721,0.52217
1197,0.42725,0.52212
1198,0.42729,0.52212
1199,0.42734,0.5222
1200,0.42738,0.52232
1201,0.42743,0.52243
1202,0.42749,0.52254
1203,0.42755,0.52253
1204,0.4276,0.52259
1205,0.42767,0.52265
1206,0.42774,0.52275
1207,0.42781,0.5228
1208,0.4279,0.52285
1209,0.428,0.52289
1210,0.4281,0.52297
1211,0.4282,0.52301
