wavelength(nm),reflectance,diffuse_transmittancee
1521,0.64068,0
1522,0.64128,0
1523,0.64183,0
1524,0.64243,0
1525,0.64302,0
1526,0.64362,0
1527,0.64427,0
1528,0.64484,0
1529,0.64536,0
1530,0.6459,0
1531,0.64643,0
1532,0.64694,0
1533,0.64746,0
1534,0.64796,0
1535,0.64842,0
1536,0.64889,0
1537,0.64937,0
1538,0.64984,0
1539,0.65031,0
1540,0.65078,0
1541,0.65126,0
1542,0.65173,0
1543,0.65219,0
1544,0.65265,0
1545,0.65311,0
1546,0.65358,0
1547,0.65404,0
1548,0.65449,0
1549,0.65494,0
1550,0.65537,0
1551,0.65579,0
1552,0.65622,0
1553,0.65667,0
1554,0.6571,0
1555,0.65753,0
1556,0.65795,0
1557,0.65835,0
1558,0.65875,0
1559,0.65913,0
1560,0.65951,0
1561,0.65988,0
1562,0.66025,0
1563,0.66059,0
1564,0.66095,0
1565,0.66133,0
1566,0.66171,0
1567,0.66211,0
1568,0.66249,0
1569,0.66283,0
1570,0.66319,0
1571,0.66355,0
1572,0.66393,0
1573,0.66434,0
1574,0.66473,0
1575,0.66512,0
1576,0.66551,0
1577,0.66588,0
1578,0.66627,0
1579,0.66668,0
1580,0.66709,0
1581,0.66754,0
1582,0.66796,0
1583,0.66837,0
1584,0.66879,0
1585,0.66919,0
1586,0.66961,0
1587,0.67006,0
1588,0.6705,0
1589,0.67092,0
1590,0.67137,0
1591,0.67185,0
1592,0.6723,0
1593,0.67274,0
1594,0.67319,0
1595,0.67362,0
1596,0.67408,0
1597,0.67459,0
1598,0.67509,0
1599,0.67563,0
1600,0.67613,0
1601,0.67661,0
1602,0.67709,0
1603,0.67752,0
1604,0.67798,0
1605,0.67847,0
1606,0.67895,0
1607,0.67945,0
1608,0.67993,0
1609,0.6804,0
1610,0.68086,0
1611,0.68132,0
1612,0.68176,0
1613,0.68218,0
1614,0.68261,0
1615,0.68304,0
1616,0.68345,0
1617,0.68385,0
1618,0.68426,0
1619,0.68466,0
1620,0.68503,0
1621,0.68538,0
1622,0.68574,0
1623,0.68609,0
1624,0.68643,0
1625,0.68682,0
1626,0.68717,0
1627,0.68749,0
1628,0.68781,0
1629,0.68813,0
1630,0.68843,0
1631,0.68874,0
1632,0.68901,0
1633,0.68926,0
1634,0.6895,0
1635,0.68973,0
1636,0.68993,0
1637,0.69011,0
1638,0.69026,0
1639,0.69036,0
1640,0.69046,0
1641,0.69057,0
1642,0.69065,0
1643,0.69072,0
1644,0.69075,0
1645,0.69073,0
1646,0.69069,0
1647,0.69061,0
1648,0.69052,0
1649,0.69041,0
1650,0.69028,0
1651,0.69014,0
1652,0.68998,0
1653,0.68978,0
1654,0.68956,0
1655,0.68932,0
1656,0.68905,0
1657,0.68876,0
1658,0.68847,0
1659,0.68814,0
1660,0.68782,0
1661,0.6875,0
1662,0.68718,0
1663,0.68684,0
1664,0.68653,0
1665,0.68622,0
1666,0.68592,0
1667,0.68561,0
1668,0.68534,0
1669,0.6851,0
1670,0.68484,0
1671,0.68461,0
1672,0.68435,0
1673,0.68405,0
1674,0.68379,0
1675,0.68354,0
1676,0.68328,0
1677,0.68305,0
1678,0.68279,0
1679,0.68255,0
1680,0.68225,0
1681,0.68191,0
1682,0.68153,0
1683,0.68104,0
1684,0.68061,0
1685,0.68018,0
1686,0.67973,0
1687,0.67932,0
1688,0.67883,0
1689,0.67828,0
1690,0.67772,0
1691,0.67712,0
1692,0.67651,0
1693,0.6759,0
1694,0.67524,0
1695,0.67455,0
1696,0.67384,0
1697,0.67309,0
1698,0.67234,0
1699,0.67158,0
1700,0.6708,0
1701,0.67003,0
1702,0.66921,0
1703,0.66834,0
1704,0.66749,0
1705,0.66662,0
1706,0.66574,0
1707,0.66486,0
1708,0.66397,0
1709,0.66306,0
1710,0.66217,0
1711,0.66131,0
1712,0.66043,0
1713,0.65954,0
1714,0.65866,0
1715,0.65776,0
1716,0.6569,0
1717,0.65611,0
1718,0.65529,0
1719,0.65451,0
1720,0.65373,0
1721,0.65288,0
1722,0.6521,0
1723,0.65135,0
1724,0.65063,0
1725,0.65003,0
1726,0.64957,0
1727,0.64923,0
1728,0.64909,0
1729,0.64909,0
1730,0.64923,0
1731,0.64952,0
1732,0.64998,0
1733,0.65059,0
1734,0.65136,0
1735,0.6522,0
1736,0.65309,0
1737,0.65394,0
1738,0.65482,0
1739,0.6556,0
1740,0.65639,0
1741,0.65702,0
1742,0.65752,0
1743,0.65796,0
1744,0.65829,0
1745,0.65857,0
1746,0.65882,0
1747,0.65895,0
1748,0.65899,0
1749,0.65899,0
1750,0.65887,0
1751,0.65879,0
1752,0.65869,0
1753,0.65855,0
1754,0.65839,0
1755,0.65822,0
1756,0.65798,0
1757,0.65781,0
1758,0.65764,0
1759,0.65754,0
1760,0.65751,0
1761,0.65748,0
1762,0.65753,0
1763,0.65767,0
1764,0.65787,0
1765,0.65815,0
1766,0.65849,0
1767,0.65888,0
1768,0.65933,0
1769,0.65986,0
1770,0.66042,0
1771,0.66094,0
1772,0.66139,0
1773,0.66183,0
1774,0.66225,0
1775,0.6626,0
1776,0.66299,0
1777,0.66336,0
1778,0.66364,0
1779,0.66389,0
1780,0.66414,0
1781,0.66433,0
1782,0.66453,0
1783,0.66478,0
1784,0.66501,0
1785,0.66524,0
1786,0.66544,0
1787,0.66566,0
1788,0.66586,0
1789,0.66601,0
1790,0.66622,0
1791,0.66642,0
1792,0.66664,0
1793,0.6669,0
1794,0.66711,0
1795,0.66736,0
1796,0.66764,0
1797,0.66786,0
1798,0.66808,0
1799,0.66835,0
1800,0.66863,0
1801,0.66773,0
1802,0.66804,0
1803,0.66837,0
1804,0.66874,0
1805,0.66908,0
1806,0.66945,0
1807,0.66976,0
